Date,Open,High,Low,Close,Volume,Currency,USD-BRL,USD-CLP,USD-EUR,Volume_USD-BRL,Volume_USD-CLP,Volume_USD-EUR
2/18/2020,109.7,111.5,104.4,106.55,14616,USD,4.356304,797.383762,0.926365,63671.73926,11654561.07,13539.75084
2/19/2020,106.3,107.75,105.5,106.8,17063,USD,4.365497,797.197068,0.925069,74488.47531,13602573.57,15784.45235
2/20/2020,107.05,107.05,104,103.6,721,USD,4.3938,807.769215,0.926977,3167.9298,582401.604,668.350417
2/21/2020,104.6,109.7,104.6,108.85,26,USD,4.389604,803.803912,0.92191,114.129704,20898.90171,23.96966
2/24/2020,105.45,107.05,102.9,105.9,878,USD,4.388094,808.498032,0.921748,3852.746532,709861.2721,809.294744
2/25/2020,106.45,107.7,103.9,107.1,104,USD,4.388298,812.604135,0.919075,456.382992,84510.83004,95.5838
2/26/2020,105.35,109.35,105.35,109.1,17,USD,4.4506,812.501546,0.918675,75.6602,13812.52628,15.617475
2/27/2020,109.9,110.8,107.8,108.2,412,USD,4.486299,814.498884,0.90935,1848.355188,335573.5402,374.6522
2/28/2020,107.75,109.95,107.75,110.1,110,USD,4.473054,817.903912,0.906833,492.03594,89969.43032,99.75163
3/2/2020,112.75,113.7,112.75,114.65,17,USD,4.473902,812.999973,0.897371,76.056334,13820.99954,15.255307
3/3/2020,118.7,120.75,118.3,121.05,119,USD,4.514699,814.297658,0.894598,537.249181,96901.4213,106.457162
3/4/2020,118.85,118.85,118.85,117.15,62,USD,4.5849,819.898965,0.897785,284.2638,50833.73583,55.66267
3/5/2020,115,115.45,115,109.85,82,USD,4.6077,825.378575,0.89099,377.8314,67681.04315,73.06118
3/6/2020,105.6,106.2,105.6,105.6,42,USD,4.62665,826.603912,0.886038,194.3193,34717.3643,37.213596
3/9/2020,103.7,109.65,103.7,108.95,36,USD,4.724403,839.298999,0.877385,170.078508,30214.76396,31.58586
3/10/2020,111.3,114.45,111.3,114.25,92,USD,4.643602,834.096125,0.883669,427.211384,76736.8435,81.297548
3/11/2020,114.3,116.08,111.53,111.55,0,USD,4.815298,841.79982,0.88802,0,0,0
